Simulation,Nash-Sutcliffe,Nash-Sutcliffe with log flows,Non-parametric Kling-Gupta
#1,0.3521135834702588,0.4319137440882429,0.691677091308943
#2,0.5052350935703236,0.6984366295935216,0.8542053103711195
#3,0.7177534670263064,0.7419413135622945,0.8829785679365676
#4,0.579360359198646,0.6864352833566492,0.8544675264962246
#5,0.5845732682422866,0.6385811884305173,0.8176105762718358
#6,0.6500618597271426,0.7998516636301098,0.8827503977041407
#7,0.5986153899193312,0.7478950645914928,0.8663746964340702
#8,0.7177164337300049,0.8220750961897646,0.8645335152194974
#9,0.6547015128103776,0.6982188154777027,0.8663522347738353
#10,0.6330206629741806,0.6663427373167252,0.8337425638175524
#11,0.6390259880370199,0.6456516294915182,0.8171488672974686
#12,0.6956885227703,0.7699660221363015,0.8462033182022377
#13,0.6791688728365219,0.721830968704587,0.850720327855888
#14,0.6398446019431616,0.7970804970912962,0.8533607230162982
#15,0.6539025264337223,0.7284336702144016,0.8402815961927421
#16,0.7269124399565299,0.8501619345488685,0.8878197836656383
#17,0.628370703632641,0.6924551358332525,0.846608278846161
#18,0.5963705747955297,0.6872615560714339,0.8536652831188729
#19,0.7392241947366276,0.8329434009105984,0.9041065406299458
#20,0.6196942261418641,0.7595482585454015,0.8660022387619393
#21,0.6131488983568105,0.5604476180160598,0.8239930947876145
#22,0.6624634014038036,0.7979529967583141,0.8703255213187072
#23,0.5728662428612893,0.671337839038938,0.8074022894870281
#24,0.6178850718664692,0.7206736746622063,0.8272394022426937
#25,0.7420019338867725,0.8404332422799294,0.8702847364316131
#26,0.6829022868532543,0.7174996935826395,0.85473129108697
#27,0.6588067648347216,0.7051086482225712,0.8535239554795736
#28,0.6766645641357618,0.7756289490957522,0.8736791306307057
#29,0.6276014950409093,0.6811509383181018,0.8433230431265665
#30,0.1593880091309775,0.41333325936032617,0.7904567514653019
#31,0.7326291998153199,0.8472595706643875,0.8941529802856959
#32,0.6435321899724769,0.7506918799190124,0.8650531329700182
#33,0.606879581431886,0.6401175315837927,0.8156113246069439
#34,0.5969151267993099,0.6897991663544698,0.8539313085293999
#35,0.6831158686586138,0.7115089506788593,0.829611606337274
#36,0.6595441104579861,0.7324300691446523,0.8352324143172698
#37,0.7376360780225815,0.8455885275438594,0.9032091243478773
#38,0.5788526585854025,0.6099294664774204,0.7976693532886715
#39,0.6564803027441726,0.8134971021774006,0.8864909506644951
#40,0.6449326750955819,0.6912566837316858,0.8434710312282834
#41,0.6644553744957111,0.7179418812850547,0.8681564026181473
#42,0.5654584219435361,0.6687482310210278,0.8516280199477293
#43,0.6816672928401202,0.6689425545987433,0.8371087541434564
#44,0.6870067555594093,0.753672564732388,0.8454090391698186
#45,0.5232324724139138,0.6667043231137664,0.8344517151111679
#46,0.6683776753677932,0.7253686708328002,0.8714355646306018
#47,0.6841226774099317,0.7700236148217591,0.8851678359340283
#48,0.508262915958366,0.6006090146322792,0.8057900661777286
#49,0.20125031807706906,0.3307536144574472,0.609768854567903
#50,0.5893460609293653,0.7537179671013914,0.864913241458317
#51,0.6388448924740316,0.7557470773486035,0.8486151685564602
#52,0.6188350897689917,0.6800673954165779,0.8151474778704615
#53,0.6923007631501334,0.8302553052371421,0.8872951466869755
#54,0.7170065284033211,0.8058195664882131,0.8612405245147104
#55,0.6512601878021678,0.6933135929862612,0.8198279417510095
#56,0.7526297801196984,0.8554398030487695,0.8866988272793344
